# Wordlist

# META
@date:2013-04-09
@source:Heath et al. (2013)

# TAXA
<taxa>
Bankan_Tey
Ben_Tey
Bunoge
Dogul_Dom
Gourou
Jamsay
Jamsay_Mondoro
Mombo
Nanga
Perge_Tegu
Tebul_Ure
Tiranige
Togo_Kan
Tommo_So
Tomo_Kan_Diangassagou
Toro_Tegu
Yanda_Dom
Yorno_So
</taxa>

# DATA
ID	DOCULECT	COUNTERPART	CONCEPT	TOKENS
2201	Gourou	mɔ́wⁿ mɔ̀wⁿɔ́	laugh, give out a laugh	m ɔ́ w̃ # m ɔ̀ w̃ ɔ́
2202	Jamsay_Mondoro	mɔ́wⁿ mɔ̀wⁿɔ́	laugh, give out a laugh	m ɔ́ w̃ # m ɔ̀ w̃ ɔ́
2203	Togo_Kan	mɔ́ mɔ̌:	laugh, give out a laugh	m ɔ́ # m ɔ̌ː
2204	Yorno_So	mɔ̂yⁿ mɔ̌:	laugh, give out a laugh	m ɔ̂ dʒⁿ # m ɔ̌ː
2205	Tomo_Kan_Diangassagou	mɔ́ⁿ mɔ̀mɛ̀	laugh, give out a laugh	m ɔ̃́ # m ɔ̀ m ɛ̀
2206	Tommo_So	mómú mòmó	laugh, give out a laugh	m ó m ú # m ò m ó
2207	Yanda_Dom	màndù màndú	laugh, give out a laugh	m à n d ù # m à n d ú
2208	Tiranige	mándó	laugh, give out a laugh	m á n d ó
2209	Bunoge	màndù mǎndè	laugh, give out a laugh	m à n d ù # m ǎ n d è
#
2210	Toro_Tegu	mɔ̂m	laughter	m ɔ̂ m
2211	Ben_Tey	mánù	laughter	m á n ù
2212	Bankan_Tey	mánù	laughter	m á n ù
2213	Nanga	mɔ́ndì	laughter	m ɔ́ n d ì
2214	Jamsay	mɔ́wⁿ	laughter	m ɔ́ w̃
2215	Perge_Tegu	mɔ́:ⁿ	laughter	m ɔ́ːⁿ
2216	Gourou	mɔ́wⁿ	laughter	m ɔ́ w̃
2217	Jamsay_Mondoro	mɔ́wⁿ	laughter	m ɔ́ w̃
2218	Togo_Kan	mɔ́	laughter	m ɔ́
2219	Yorno_So	mɔ̂yⁿ	laughter	m ɔ̂ dʒⁿ
2220	Tomo_Kan_Diangassagou	mɔ́ⁿ	laughter	m ɔ̃́
2221	Tommo_So	mómú	laughter	m ó m ú
2222	Dogul_Dom	mándùg	laughter	m á n d ù ɡ
2223	Tebul_Ure	móndúgó	laughter	m ó n d ú ɡ ó
2224	Yanda_Dom	màndù	laughter	m à n d ù
2225	Tiranige	màndì	laughter	m à n d ì
2226	Mombo	mándú	laughter	m á n d ú
2227	Bunoge	màndù	laughter	m à n d ù
#
2228	Toro_Tegu	kɔ̀tɔ́	leaf (of plant)	k ɔ̀ t ɔ́
2229	Nanga	úwâ	leaf (of plant)	ú w â
2230	Jamsay	kúrɔ́	leaf (of plant)	k ú r ɔ́
2231	Perge_Tegu	kúrɔ́	leaf (of plant)	k ú r ɔ́
2232	Gourou	kúrɔ́	leaf (of plant)	k ú r ɔ́
2233	Togo_Kan	kúrɔ́	leaf (of plant)	k ú r ɔ́
2234	Yorno_So	lɛ̂:	leaf (of plant)	l ɛ̂ː
2235	Tomo_Kan_Diangassagou	kɔ̀w	leaf (of plant)	k ɔ̀ w
2236	Tommo_So	núyɔ́	leaf (of plant)	n ú dʒ ɔ́
2237	Tebul_Ure	kúlá	leaf (of plant)	k ú l á
2238	Yanda_Dom	kùlà	leaf (of plant)	k ù l à
2239	Tiranige	kómbá	leaf (of plant)	k ó m b á
2240	Mombo	kúbɛ̀	leaf (of plant)	k ú b ɛ̀
2241	Bunoge	kóbà	leaf (of plant)	k ó b à
#
2242	Toro_Tegu	bàrⁿíyⁿà	left (hand, etc.)	b à r̃ í dʒⁿ à
2243	Ben_Tey	bànǎyⁿ	left (hand, etc.)	b à n ǎ dʒⁿ
2244	Bankan_Tey	bàndǎy	left (hand, etc.)	b à n d ǎ dʒ
2245	Nanga	bàrìyɛ́	left (hand, etc.)	b à r ì dʒ ɛ́
2246	Jamsay	bàná	left (hand, etc.)	b à n á
2247	Perge_Tegu	bàlá	left (hand, etc.)	b à l á
2248	Gourou	bàná	left (hand, etc.)	b à n á
2249	Togo_Kan	nàná	left (hand, etc.)	n à n á
2250	Tommo_So	nààndá	left (hand, etc.)	n à à n d á
2251	Dogul_Dom	nàndáŋ	left (hand, etc.)	n à n d á ŋ
2252	Tebul_Ure	bàndá	left (hand, etc.)	b à n d á
2253	Yanda_Dom	nàndà	left (hand, etc.)	n à n d à
2254	Tiranige	nɔ́:ndɔ́	left (hand, etc.)	n ɔ́ː n d ɔ́
2255	Mombo	ná:gà	left (hand, etc.)	n áː ɡ à
#
2256	Toro_Tegu	lɔ̀bàrⁿíyⁿà	left hand	l ɔ̀ b à r̃ í dʒⁿ à
2257	Ben_Tey	nà bànǎyⁿ	left hand	n à # b à n ǎ dʒⁿ
2258	Bankan_Tey	nà: bàndǎy	left hand	n àː # b à n d ǎ dʒ
2259	Nanga	nà: bàrìyɛ́	left hand	n àː # b à r ì dʒ ɛ́
2260	Jamsay	nùmòbàná	left hand	n ù m ò b à n á
2261	Perge_Tegu	nùwⁿò bàlá	left hand	n ù w̃ ò # b à l á
2262	Jamsay_Mondoro	nùmòbàná	left hand	n ù m ò b à n á
2263	Togo_Kan	nùmɔ̀ nàná	left hand	n ù m ɔ̀ # n à n á
2264	Tommo_So	nùmɔ̀ nààndá	left hand	n ù m ɔ̀ # n à à n d á
2265	Dogul_Dom	nùmɔ̀ nàndáŋ	left hand	n ù m ɔ̀ # n à n d á ŋ
2266	Tebul_Ure	nùmà: bàndá	left hand	n ù m àː # b à n d á
2267	Yanda_Dom	nùmà nàndà	left hand	n ù m à # n à n d à
2268	Tiranige	nùmà nɔ́:ndɔ́	left hand	n ù m à # n ɔ́ː n d ɔ́
2269	Mombo	nà:gà nɛ́:	left hand	n àː ɡ à # n ɛ́ː
2270	Bunoge	nùmágà	left hand	n ù m á ɡ à
#
2271	Ben_Tey	dɛ̀gɛ́	lick	d ɛ̀ ɡ ɛ́
2272	Bankan_Tey	dɛ̌:	lick	d ɛ̌ː
2273	Nanga	dɛ̀gɛ́	lick	d ɛ̀ ɡ ɛ́
2274	Jamsay	dɛ̀gɛ́	lick	d ɛ̀ ɡ ɛ́
2275	Perge_Tegu	dɛ̀gɛ́	lick	d ɛ̀ ɡ ɛ́
2276	Gourou	dɛ̀gɛ́	lick	d ɛ̀ ɡ ɛ́
2277	Togo_Kan	dɛ̀gɛ́	lick	d ɛ̀ ɡ ɛ́
2278	Yorno_So	dɛ̀gɛ́	lick	d ɛ̀ ɡ ɛ́
2279	Tomo_Kan_Diangassagou	jɛ̀ʔɛ̀	lick	dʒ ɛ̀ ʔ ɛ̀
2280	Tommo_So	dɛ̀gɛ́	lick	d ɛ̀ ɡ ɛ́
2281	Dogul_Dom	dɛ̀gɛ́	lick	d ɛ̀ ɡ ɛ́
2282	Yanda_Dom	dɛ̀gɛ́	lick	d ɛ̀ ɡ ɛ́
2283	Tiranige	nɛ́lɔ́	lick	n ɛ́ l ɔ́
2284	Mombo	nɛ́lɛ́	lick	n ɛ́ l ɛ́
#
2285	Toro_Tegu	ɛ́rú	lightweight	ɛ́ r ú
2286	Ben_Tey	ɲɛ̀rⁿú	lightweight	ɲ ɛ̀ r̃ ú
2287	Bankan_Tey	yɛ́mbɛ̀	lightweight	dʒ ɛ́ m b ɛ̀
2288	Nanga	ɛ́rⁿî	lightweight	ɛ́ r̃ î
2289	Jamsay	ɲɛ́n	lightweight	ɲ ɛ́ n
2290	Perge_Tegu	ɲɛ́rⁿú	lightweight	ɲ ɛ́ r̃ ú
2291	Gourou	ɲɛ́n	lightweight	ɲ ɛ́ n
2292	Jamsay_Mondoro	ɲɛ́n	lightweight	ɲ ɛ́ n
2293	Togo_Kan	ɲɛ́rⁿú	lightweight	ɲ ɛ́ r̃ ú
2294	Tommo_So	wɛ́y	lightweight	w ɛ́ dʒ
2295	Dogul_Dom	ɛ́nɛ̀nɛ̀	lightweight	ɛ́ n ɛ̀ n ɛ̀
2296	Yanda_Dom	ɛ̀n	lightweight	ɛ̀ n
2297	Tiranige	né:ŋgórá	lightweight	n éː ŋ ɡ ó r á
2298	Mombo	yáwyáw kánní	lightweight	dʒ á w dʒ á w # k á n n í
#
2299	Toro_Tegu	cɛ́lá	liver	tʃ ɛ́ l á
2300	Bankan_Tey	kɛ́ndɛ̀	liver	k ɛ́ n d ɛ̀
2301	Nanga	kɛ́ndɛ̀	liver	k ɛ́ n d ɛ̀
2302	Jamsay	cɛ́nɛ̀	liver	tʃ ɛ́ n ɛ̀
2303	Perge_Tegu	kɛ́lɛ̀	liver	k ɛ́ l ɛ̀
2304	Gourou	kɛ́nɛ̀	liver	k ɛ́ n ɛ̀
2305	Jamsay_Mondoro	cɛ́nɛ̀	liver	tʃ ɛ́ n ɛ̀
2306	Togo_Kan	kɛ́nɛ́	liver	k ɛ́ n ɛ́
2307	Yorno_So	kínɛ́	liver	k í n ɛ́
2308	Tomo_Kan_Diangassagou	cándálá	liver	tʃ á n d á l á
2309	Dogul_Dom	kíndà	liver	k í n d à
2310	Tebul_Ure	kɛ́ndɛ́	liver	k ɛ́ n d ɛ́
2311	Yanda_Dom	cíndá	liver	tʃ í n d á
2312	Tiranige	cìndà	liver	tʃ ì n d à
2313	Mombo	kíndá	liver	k í n d á
2314	Bunoge	kìndà	liver	k ì n d à
#
2315	Toro_Tegu	gùrú	long (e.g. rope)	ɡ ù r ú
2316	Ben_Tey	gùrɔ̂w	long (e.g. rope)	ɡ ù r ɔ̂ w
2317	Bankan_Tey	gùrⁿǎwⁿ	long (e.g. rope)	ɡ ù r̃ ǎ w̃
2318	Nanga	gùrɔ́	long (e.g. rope)	ɡ ù r ɔ́
2319	Jamsay	gùrú	long (e.g. rope)	ɡ ù r ú
2320	Perge_Tegu	gùrú	long (e.g. rope)	ɡ ù r ú
2321	Gourou	gùrú	long (e.g. rope)	ɡ ù r ú
2322	Jamsay_Mondoro	gùrú	long (e.g. rope)	ɡ ù r ú
2323	Togo_Kan	gùrú	long (e.g. rope)	ɡ ù r ú
2324	Yorno_So	pàlá	long (e.g. rope)	p à l á
2325	Tommo_So	pàlá	long (e.g. rope)	p à l á
2326	Yanda_Dom	zàlà	long (e.g. rope)	z à l à
2327	Tiranige	yálá	long (e.g. rope)	dʒ á l á
2328	Mombo	góllò	long (e.g. rope)	ɡ ó l l ò
2329	Bunoge	gòlò	long (e.g. rope)	ɡ ò l ò
#
2330	Toro_Tegu	kòlú	lunch	k ò l ú
2331	Ben_Tey	kɛ̀lɛ̀tɛ᷈y	lunch	k ɛ̀ l ɛ̀ t ɛ᷈ dʒ
2332	Bankan_Tey	m̀bùrɔ̀mbúrɔ̀	lunch	m̀ b ù r ɔ̀ m b ú r ɔ̀
2333	Nanga	kɔ̀rⁿɔ̀ŋɔ̀yⁿ pàndá	lunch	k ɔ̀ r̃ ɔ̀ ŋ ɔ̀ dʒⁿ # p à n d á
2334	Jamsay	cɛ̀ntɛ̀gú	lunch	tʃ ɛ̀ n t ɛ̀ ɡ ú
2335	Perge_Tegu	kɛ̀lɛ̀tɛ̀gú	lunch	k ɛ̀ l ɛ̀ t ɛ̀ ɡ ú
2336	Gourou	nìnúwⁿò kɛ̀ntɛ̀gú	lunch	n ì n ú w̃ ò # k ɛ̀ n t ɛ̀ ɡ ú
2337	Togo_Kan	ìsìgɛ̀pàná	lunch	ì s ì ɡ ɛ̀ p à n á
2338	Yorno_So	nàmlè kìnègú	lunch	n à m l è # k ì n è ɡ ú
2339	Tomo_Kan_Diangassagou	ʔìʔìjàpànà	lunch	ʔ ì ʔ ì dʒ à p à n à
2340	Dogul_Dom	ìsìgà páná	lunch	ì s ì ɡ à # p á n á
2341	Tebul_Ure	ùdùnòmdó	lunch	ù d ù n ò m d ó
2342	Yanda_Dom	wà:pànù	lunch	w àː p à n ù
2343	Tiranige	ɔ̀mɔ̀kání	lunch	ɔ̀ m ɔ̀ k á n í
2344	Mombo	gílí	lunch	ɡ í l í
2345	Bunoge	bǎmpánàŋgè	lunch	b ǎ m p á n à ŋ ɡ è
#
2346	Toro_Tegu	kùpà:ⁿsú	lung	k ù p ã̀ː s ú
2347	Bankan_Tey	pùsùpàsá	lung	p ù s ù p à s á
2348	Jamsay	pù:júpà:jú	lung	p ùː dʒ ú p àː dʒ ú
2349	Perge_Tegu	pù:sùpà:sá	lung	p ùː s ù p àː s á
2350	Gourou	pù:zùpà:zú	lung	p ùː z ù p àː z ú
2351	Jamsay_Mondoro	pùjúpàjú	lung	p ù dʒ ú p à dʒ ú
2352	Togo_Kan	pú:jùpá:jù	lung	p úː dʒ ù p áː dʒ ù
2353	Yorno_So	bǔ:jùbà:jù	lung	b ǔː dʒ ù b àː dʒ ù
2354	Tomo_Kan_Diangassagou	hʷùhʷùʔùjá	lung	hʷ ù hʷ ù ʔ ù dʒ á
2355	Tommo_So	kìndɛ̀ bùúdúbààdù	lung	k ì n d ɛ̀ # b ù ú d ú b à à d ù
2356	Dogul_Dom	búsbàs	lung	b ú s b à s
2357	Tebul_Ure	pùdùpá:dù	lung	p ù d ù p áː d ù
2358	Yanda_Dom	pú:zùpá:zù	lung	p úː z ù p áː z ù
2359	Tiranige	àlpús	lung	à l p ú s
2360	Mombo	pùjùpájù	lung	p ù dʒ ù p á dʒ ù
2361	Bunoge	pùsùpùsú	lung	p ù s ù p ù s ú
#
2362	Toro_Tegu	kàwⁿá	macari (black spice made with seeds of roselle)	k à w̃ á
2363	Ben_Tey	kùnûm	macari (black spice made with seeds of roselle)	k ù n û m
2364	Bankan_Tey	kùnûm	macari (black spice made with seeds of roselle)	k ù n û m
2365	Nanga	kùndî	macari (black spice made with seeds of roselle)	k ù n d î
2366	Jamsay	kɔ̀wⁿɔ́	macari (black spice made with seeds of roselle)	k ɔ̀ w̃ ɔ́
2367	Perge_Tegu	kàwⁿá	macari (black spice made with seeds of roselle)	k à w̃ á
2368	Gourou	kɔ̀wⁿɔ́	macari (black spice made with seeds of roselle)	k ɔ̀ w̃ ɔ́
2369	Jamsay_Mondoro	kɔ̀wⁿɔ́	macari (black spice made with seeds of roselle)	k ɔ̀ w̃ ɔ́
2370	Togo_Kan	kàwⁿá	macari (black spice made with seeds of roselle)	k à w̃ á
2371	Yorno_So	kàwⁿá	macari (black spice made with seeds of roselle)	k à w̃ á
2372	Tomo_Kan_Diangassagou	kàmà	macari (black spice made with seeds of roselle)	k à m à
2373	Yanda_Dom	ànzùkàm	macari (black spice made with seeds of roselle)	à n z ù k à m
2374	Tiranige	ànì	macari (black spice made with seeds of roselle)	à n ì
2375	Mombo	álé	macari (black spice made with seeds of roselle)	á l é
2376	Bunoge	ʔégésélè	macari (black spice made with seeds of roselle)	ʔ é ɡ é s é l è
#
2377	Toro_Tegu	àrá	male	à r á
2378	Ben_Tey	árⁿàm	male	á r̃ à m
2379	Nanga	árⁿâ	male	á r̃ â
2380	Jamsay	àrⁿá	male	à r̃ á
2381	Perge_Tegu	àrⁿá	male	à r̃ á
2382	Gourou	àrⁿá	male	à r̃ á
2383	Togo_Kan	àrⁿá	male	à r̃ á
2384	Yorno_So	àrⁿá	male	à r̃ á
2385	Tomo_Kan_Diangassagou	ʔàlà	male	ʔ à l à
2386	Tommo_So	àná	male	à n á
2387	Dogul_Dom	ánà	male	á n à
2388	Tiranige	báná	male	b á n á
2389	Mombo	wálá	male	w á l á
2390	Bunoge	nòlò	male	n ò l ò
#
2391	Toro_Tegu	nɔ́ŋɔ́	man-made tree apiary (for honey bees) consisting of a section of a hollow tree trunk placed among branches in a living tree	n ɔ́ ŋ ɔ́
2392	Ben_Tey	kòwî:	man-made tree apiary (for honey bees) consisting of a section of a hollow tree trunk placed among branches in a living tree	k ò w îː
2393	Bankan_Tey	ków	man-made tree apiary (for honey bees) consisting of a section of a hollow tree trunk placed among branches in a living tree	k ó w
2394	Nanga	kǒw	man-made tree apiary (for honey bees) consisting of a section of a hollow tree trunk placed among branches in a living tree	k ǒ w
2395	Jamsay	yùŋków	man-made tree apiary (for honey bees) consisting of a section of a hollow tree trunk placed among branches in a living tree	dʒ ù ŋ k ó w
2396	Perge_Tegu	ków	man-made tree apiary (for honey bees) consisting of a section of a hollow tree trunk placed among branches in a living tree	k ó w
2397	Togo_Kan	tɛ̀:kórú	man-made tree apiary (for honey bees) consisting of a section of a hollow tree trunk placed among branches in a living tree	t ɛ̀ː k ó r ú
2398	Yorno_So	yɛ̀yⁿkóm	man-made tree apiary (for honey bees) consisting of a section of a hollow tree trunk placed among branches in a living tree	dʒ ɛ̀ dʒⁿ k ó m
2399	Tomo_Kan_Diangassagou	kó	man-made tree apiary (for honey bees) consisting of a section of a hollow tree trunk placed among branches in a living tree	k ó
2400	Tommo_So	pɔ́mbɔ́	man-made tree apiary (for honey bees) consisting of a section of a hollow tree trunk placed among branches in a living tree	p ɔ́ m b ɔ́
2401	Tebul_Ure	kóbúgó	man-made tree apiary (for honey bees) consisting of a section of a hollow tree trunk placed among branches in a living tree	k ó b ú ɡ ó
2402	Yanda_Dom	kòbù	man-made tree apiary (for honey bees) consisting of a section of a hollow tree trunk placed among branches in a living tree	k ò b ù
2403	Tiranige	ków	man-made tree apiary (for honey bees) consisting of a section of a hollow tree trunk placed among branches in a living tree	k ó w
2404	Mombo	kóbù	man-made tree apiary (for honey bees) consisting of a section of a hollow tree trunk placed among branches in a living tree	k ó b ù
#
2405	Toro_Tegu	bíríjí	manure (sometimes mixed with garbage) as fertilizer	b í r í dʒ í
2406	Ben_Tey	líw	manure (sometimes mixed with garbage) as fertilizer	l í w
2407	Nanga	númbí	manure (sometimes mixed with garbage) as fertilizer	n ú m b í
2408	Jamsay	lúgù	manure (sometimes mixed with garbage) as fertilizer	l ú ɡ ù
2409	Perge_Tegu	líw	manure (sometimes mixed with garbage) as fertilizer	l í w
2410	Gourou	lúgù	manure (sometimes mixed with garbage) as fertilizer	l ú ɡ ù
2411	Togo_Kan	bínígí	manure (sometimes mixed with garbage) as fertilizer	b í n í ɡ í
2412	Yorno_So	bìrⁿǐŋ	manure (sometimes mixed with garbage) as fertilizer	b ì r̃ ǐ ŋ
2413	Tomo_Kan_Diangassagou	yú:	manure (sometimes mixed with garbage) as fertilizer	dʒ úː
2414	Tommo_So	bìlím	manure (sometimes mixed with garbage) as fertilizer	b ì l í m
2415	Tebul_Ure	lúbé:	manure (sometimes mixed with garbage) as fertilizer	l ú b éː
2416	Yanda_Dom	lùbú	manure (sometimes mixed with garbage) as fertilizer	l ù b ú
2417	Tiranige	úwú	manure (sometimes mixed with garbage) as fertilizer	ú w ú
2418	Mombo	úbù	manure (sometimes mixed with garbage) as fertilizer	ú b ù
2419	Bunoge	kúyè	manure (sometimes mixed with garbage) as fertilizer	k ú dʒ è
#
2420	Ben_Tey	ɛ́wá:	market	ɛ́ w áː
2421	Bankan_Tey	ɛ́wá:	market	ɛ́ w áː
2422	Nanga	ɛ́wɛ́	market	ɛ́ w ɛ́
2423	Jamsay	ɛ́wɛ́	market	ɛ́ w ɛ́
2424	Perge_Tegu	ɛ́wɛ́	market	ɛ́ w ɛ́
2425	Gourou	ɛ́wɛ́	market	ɛ́ w ɛ́
2426	Jamsay_Mondoro	ɛ́wɛ́	market	ɛ́ w ɛ́
2427	Togo_Kan	ɛ́wɛ́	market	ɛ́ w ɛ́
2428	Yorno_So	íbɛ́	market	í b ɛ́
2429	Tommo_So	íbɛ́	market	í b ɛ́
2430	Dogul_Dom	ébà	market	é b à
2431	Yanda_Dom	ɛ́bà	market	ɛ́ b à
2432	Tiranige	èwà	market	è w à
2433	Mombo	íbá	market	í b á
#
2434	Toro_Tegu	síwó	marrow	s í w ó
2435	Ben_Tey	bú:sǎm	marrow	b úː s ǎ m
2436	Nanga	nɔ̀ndí	marrow	n ɔ̀ n d í
2437	Jamsay	búsâm	marrow	b ú s â m
2438	Perge_Tegu	búsâm	marrow	b ú s â m
2439	Gourou	bú:sɔ̀m	marrow	b úː s ɔ̀ m
2440	Togo_Kan	sìyèiⁿ bɔ́:nɔ́	marrow	s ì dʒ è ĩ # b ɔ́ː n ɔ́
2441	Yorno_So	bɔ́nɔ̀	marrow	b ɔ́ n ɔ̀
2442	Tommo_So	bɔ́ndú	marrow	b ɔ́ n d ú
2443	Dogul_Dom	bɔ́ndù	marrow	b ɔ́ n d ù
2444	Tebul_Ure	nɔ́:	marrow	n ɔ́ː
2445	Yanda_Dom	bɔ̀ndúm	marrow	b ɔ̀ n d ú m
2446	Tiranige	nó:ndí	marrow	n óː n d í
2447	Mombo	bùzé	marrow	b ù z é
2448	Bunoge	búgè	marrow	b ú ɡ è
#
2449	Toro_Tegu	kàrá	mat	k à r á
2450	Ben_Tey	kàrá	mat	k à r á
2451	Bankan_Tey	kàrá	mat	k à r á
2452	Nanga	kágá	mat	k á ɡ á
2453	Jamsay	kàrá	mat	k à r á
2454	Perge_Tegu	sùgɔ́	mat	s ù ɡ ɔ́
2455	Gourou	gùgó	mat	ɡ ù ɡ ó
2456	Jamsay_Mondoro	kàrá	mat	k à r á
2457	Togo_Kan	sùgɔ́	mat	s ù ɡ ɔ́
2458	Yorno_So	sùgɔ́	mat	s ù ɡ ɔ́
2459	Tommo_So	ǹjó	mat	ǹ dʒ ó
2460	Dogul_Dom	nìí	mat	n ì í
2461	Tebul_Ure	nìŋgé	mat	n ì ŋ ɡ é
2462	Yanda_Dom	nìŋ	mat	n ì ŋ
2463	Tiranige	bì:	mat	b ìː
2464	Mombo	kágà	mat	k á ɡ à
2465	Bunoge	bé:ŋgè	mat	b éː ŋ ɡ è
#
2466	Toro_Tegu	lɛ́	meal (cooked)	l ɛ́
2467	Ben_Tey	ɲɛ̌yⁿ	meal (cooked)	ɲ ɛ̌ dʒⁿ
2468	Bankan_Tey	ɲɛ̌yⁿ	meal (cooked)	ɲ ɛ̌ dʒⁿ
2469	Nanga	ɲǎ:	meal (cooked)	ɲ ǎː
2470	Jamsay	ɲǎ:	meal (cooked)	ɲ ǎː
2471	Perge_Tegu	já:	meal (cooked)	dʒ áː
2472	Gourou	pàná	meal (cooked)	p à n á
2473	Yorno_So	jâ:	meal (cooked)	dʒ âː
2474	Tommo_So	jáá	meal (cooked)	dʒ á á
2475	Dogul_Dom	ɲàáŋ	meal (cooked)	ɲ à á ŋ
2476	Tebul_Ure	zá	meal (cooked)	z á
2477	Yanda_Dom	zá	meal (cooked)	z á
2478	Tiranige	ɲà:ŋgè	meal (cooked)	ɲ àː ŋ ɡ è
2479	Mombo	ɲâ:	meal (cooked)	ɲ âː
2480	Bunoge	pànáŋgè	meal (cooked)	p à n á ŋ ɡ è
#
2481	Toro_Tegu	nàwⁿá	meat	n à w̃ á
2482	Ben_Tey	nàwⁿâ:	meat	n à w̃ âː
2483	Bankan_Tey	nàmâ:	meat	n à m âː
2484	Nanga	nàmâ	meat	n à m â
2485	Jamsay	nɔ̀wⁿɔ́	meat	n ɔ̀ w̃ ɔ́
2486	Perge_Tegu	nàwⁿá	meat	n à w̃ á
2487	Gourou	nɔ̀wⁿɔ́	meat	n ɔ̀ w̃ ɔ́
2488	Jamsay_Mondoro	nɔ̀wⁿɔ́	meat	n ɔ̀ w̃ ɔ́
2489	Togo_Kan	nɔ̀wⁿɔ́	meat	n ɔ̀ w̃ ɔ́
2490	Yorno_So	nàwⁿá	meat	n à w̃ á
2491	Tomo_Kan_Diangassagou	nàmà	meat	n à m à
2492	Tommo_So	nàmá	meat	n à m á
2493	Dogul_Dom	nàmáá	meat	n à m á á
2494	Tebul_Ure	nàmá	meat	n à m á
2495	Yanda_Dom	nàmà	meat	n à m à
2496	Tiranige	námá	meat	n á m á
2497	Mombo	námà	meat	n á m à
2498	Bunoge	námà	meat	n á m à
#
2499	Toro_Tegu	zòŋú	medical treatment, medical care	z ò ŋ ú
2500	Ben_Tey	jóŋgù	medical treatment, medical care	dʒ ó ŋ ɡ ù
2501	Bankan_Tey	zòŋgú	medical treatment, medical care	z ò ŋ ɡ ú
2502	Nanga	jòŋí	medical treatment, medical care	dʒ ò ŋ í
2503	Jamsay	jóŋ	medical treatment, medical care	dʒ ó ŋ
2504	Perge_Tegu	jǒŋ	medical treatment, medical care	dʒ ǒ ŋ
2505	Gourou	zóŋ	medical treatment, medical care	z ó ŋ
2506	Jamsay_Mondoro	jóŋ	medical treatment, medical care	dʒ ó ŋ
2507	Togo_Kan	jɔ́ŋú	medical treatment, medical care	dʒ ɔ́ ŋ ú
2508	Yorno_So	jɔ́ŋú	medical treatment, medical care	dʒ ɔ́ ŋ ú
2509	Tommo_So	jóŋú	medical treatment, medical care	dʒ ó ŋ ú
2510	Tebul_Ure	zǒŋgó	medical treatment, medical care	z ǒ ŋ ɡ ó
2511	Yanda_Dom	zɔ̀ŋɔ̀	medical treatment, medical care	z ɔ̀ ŋ ɔ̀
2512	Tiranige	sàwrí	medical treatment, medical care	s à w r í
2513	Mombo	jòŋgù jóŋgú	medical treatment, medical care	dʒ ò ŋ ɡ ù # dʒ ó ŋ ɡ ú
2514	Bunoge	jóŋgù	medical treatment, medical care	dʒ ó ŋ ɡ ù
#
2515	Toro_Tegu	ɛ̂m	milk	ɛ̂ m
2516	Ben_Tey	ɛ́wⁿɛ̀yⁿ	milk	ɛ́ w̃ ɛ̀ dʒⁿ
2517	Bankan_Tey	ɛ́mmɛ̀yⁿ	milk	ɛ́ m m ɛ̀ dʒⁿ
2518	Nanga	ɛ́mɛ̂	milk	ɛ́ m ɛ̂
2519	Jamsay	ɛ̂m	milk	ɛ̂ m
2520	Perge_Tegu	ɛ̂m	milk	ɛ̂ m
2521	Gourou	ɛ̂m	milk	ɛ̂ m
2522	Jamsay_Mondoro	ɛ̂m	milk	ɛ̂ m
2523	Togo_Kan	írí	milk	í r í
2524	Yorno_So	ɛ̂m	milk	ɛ̂ m
2525	Tomo_Kan_Diangassagou	nà:ʔì:ⁿ	milk	n àː ʔ ìːⁿ
2526	Tommo_So	ém	milk	é m
2527	Tebul_Ure	ɛ́mnɛ́	milk	ɛ́ m n ɛ́
2528	Yanda_Dom	ɛ́mɛ́	milk	ɛ́ m ɛ́
2529	Tiranige	ɛ̀mɛ̀ŋgè	milk	ɛ̀ m ɛ̀ ŋ ɡ è
2530	Mombo	ɛ́mɛ́	milk	ɛ́ m ɛ́
2531	Bunoge	ʔɛ́mɛ́ŋgè	milk	ʔ ɛ́ m ɛ́ ŋ ɡ è
#
2532	Toro_Tegu	yú	millet	dʒ ú
2533	Ben_Tey	yû:	millet	dʒ ûː
2534	Bankan_Tey	yû:	millet	dʒ ûː
2535	Nanga	yû:	millet	dʒ ûː
2536	Jamsay	ɲú:	millet	ɲ úː
2537	Perge_Tegu	yú:	millet	dʒ úː
2538	Jamsay_Mondoro	ɲú:	millet	ɲ úː
2539	Togo_Kan	ɲú:	millet	ɲ úː
2540	Yorno_So	yǔ:	millet	dʒ ǔː
2541	Tomo_Kan_Diangassagou	ʔínjá	millet	ʔ í n dʒ á
2542	Tommo_So	yúú	millet	dʒ ú ú
2543	Dogul_Dom	sìyɛ́	millet	s ì dʒ ɛ́
2544	Tebul_Ure	yɔ́	millet	dʒ ɔ́
2545	Yanda_Dom	yú:	millet	dʒ úː
2546	Tiranige	yò:gè	millet	dʒ òː ɡ è
2547	Mombo	sé:ŋgè	millet	s éː ŋ ɡ è
2548	Bunoge	sé:ŋgè	millet	s éː ŋ ɡ è
#
2549	Toro_Tegu	kɔ̀ⁿsɔ́	millet beer	k ɔ̃̀ s ɔ́
2550	Ben_Tey	kɔ̀njɔ́	millet beer	k ɔ̀ n dʒ ɔ́
2551	Nanga	kɔ̀njɔ́	millet beer	k ɔ̀ n dʒ ɔ́
